 ,Area,Mean,Min,Max,Angle,Length
1,1.722,39.987,16.667,102.346,63.886,9.787
2,1.989,46.198,14.372,98.889,135.000,11.453
3,2.019,40.656,13.475,96.174,50.412,11.627
4,1.425,47.705,17.911,78.763,-122.005,8.128
5,1.722,37.965,16.073,75.505,62.987,9.864
6,1.485,35.893,17.366,83.667,-142.431,8.478
7,1.722,54.595,25.333,105.667,-129.289,9.796
8,1.366,54.078,36.587,78.720,-122.276,7.744
9,1.960,55.968,22.548,79.712,18.712,11.279
10,1.603,41.639,13.242,130.667,107.418,9.210
11,1.663,27.008,9.909,80.000,177.917,9.483
12,1.663,35.072,13.394,126.667,-155.298,9.483
13,1.336,47.310,16.303,123.667,2.603,7.590
14,1.752,35.396,16.377,132.667,98.973,9.943
15,1.781,22.023,10.000,43.079,4.844,10.203
16,1.752,34.004,8.316,145.000,-130.815,10.018
17,1.306,42.020,18.659,90.667,162.408,7.411
18,1.514,43.147,19.487,138.000,146.310,8.698
19,2.078,42.061,19.027,113.657,103.431,11.869
20,1.455,77.993,18.833,155.451,71.940,8.337
21,1.544,44.827,18.326,94.667,103.496,8.860
22,1.960,52.404,12.451,133.862,-89.119,11.202
23,1.722,24.355,11.807,59.661,11.113,9.834
24,1.900,36.046,12.878,88.494,-121.430,10.905
25,1.781,50.171,3.930,128.230,-47.070,10.120
26,1.336,24.352,5.303,71.000,-177.397,7.590
27,1.395,23.665,14.232,74.667,132.357,7.928
28,1.603,35.266,3.784,101.872,-75.700,9.069
29,1.752,58.447,30.233,122.794,172.011,9.918
30,1.633,45.133,21.519,147.173,141.009,9.311
31,1.455,57.275,28.477,126.070,161.940,8.337
32,1.544,38.258,12.732,170.348,-168.690,8.786
33,1.930,35.796,12.675,75.667,-153.034,11.020
34,1.900,52.343,16.046,144.224,127.235,10.821
35,1.455,61.831,15.707,136.333,-159.305,8.289
36,1.247,54.027,16.908,96.339,-149.036,7.033
37,2.257,50.781,13.680,152.333,147.588,12.859
38,1.841,27.674,12.178,89.333,-171.469,10.454
39,1.900,31.338,9.662,81.000,-72.429,10.845
40,1.871,58.533,28.935,145.000,-86.309,10.706
41,1.425,31.678,9.050,107.000,-2.437,8.106
42,1.692,49.950,22.429,128.000,-2.045,9.656
43,2.375,33.237,13.957,137.333,132.955,13.655
44,1.425,47.708,19.688,113.333,88.781,8.100
45,1.663,42.248,6.667,138.904,-76.218,9.403
46,1.366,36.286,13.073,86.037,-168.440,7.739
47,1.930,40.540,15.010,77.010,-17.301,11.009
48,2.257,63.148,10.525,200.215,-37.942,12.891
49,1.514,44.836,7.614,183.000,-33.690,8.698
50,1.663,47.918,21.607,145.333,-55.437,9.416
51,1.485,47.822,10.667,157.000,-147.619,8.366
52,1.752,47.822,19.338,116.667,125.882,9.996
53,2.019,42.050,12.418,196.104,-32.276,11.617
54,1.514,45.190,13.187,89.667,-178.854,8.617
55,2.167,35.404,5.000,142.479,-114.444,12.492
56,2.138,24.691,12.606,75.333,152.354,12.255
57,1.871,71.713,12.382,183.415,-64.259,10.712
58,1.485,48.539,20.774,122.844,-42.510,8.415
59,1.485,36.229,11.264,111.333,77.093,8.485
60,1.633,22.576,6.296,45.794,131.987,9.273
61,1.514,29.990,11.139,102.000,-10.408,8.584
62,2.019,22.927,10.000,88.667,140.412,11.627
63,1.752,28.599,15.289,78.667,133.603,9.994
64,1.722,26.885,13.713,77.333,-24.775,9.868
65,1.574,37.952,18.450,76.667,-66.371,9.028
66,1.722,37.071,19.783,70.333,52.125,9.823
67,1.544,46.615,9.842,248.333,-14.859,8.735
68,1.603,37.795,18.170,84.214,-176.760,9.147
69,1.425,46.815,27.303,105.000,104.931,8.025
70,1.989,44.921,11.410,142.333,-52.431,11.304
71,1.900,48.270,21.408,88.667,103.815,10.824
72,1.188,26.756,8.849,50.000,-10.437,6.658
73,1.188,29.629,13.126,59.000,111.251,6.656
74,1.574,31.665,4.333,163.667,-45.785,8.895
75,1.841,35.638,10.623,152.667,92.816,10.524
76,1.781,34.347,9.836,180.333,89.029,10.168
77,2.227,41.054,8.721,86.477,120.033,12.738
78,1.633,38.097,13.333,96.667,90.000,9.305
79,1.603,36.797,12.992,75.116,114.624,9.098
80,1.425,42.386,9.561,144.000,-80.134,8.045
81,1.336,39.625,14.727,100.000,30.069,7.566
82,1.781,42.051,12.742,203.422,116.131,10.172
83,2.375,47.351,15.955,140.333,-152.140,13.643
84,2.049,33.709,10.727,164.333,-171.511,11.673
85,1.485,34.353,14.333,110.667,102.907,8.485
86,1.514,35.914,22.333,63.555,133.363,8.532
87,1.930,40.374,11.781,132.375,143.842,11.098
88,1.425,29.071,14.856,48.014,104.931,8.025
89,1.752,50.011,14.698,133.000,-38.047,10.065
90,1.574,57.149,22.797,148.314,-72.255,9.046
91,1.217,47.940,22.215,124.247,63.435,6.935
92,2.078,33.022,3.333,140.667,123.690,11.804
93,1.841,31.653,11.176,152.000,111.105,10.528
94,1.989,41.863,4.697,170.667,179.132,11.374
95,2.197,24.200,6.794,74.424,-79.765,12.607
96,2.049,65.156,7.333,158.617,-101.802,11.794
97,1.633,41.453,9.667,87.630,4.236,9.330
98,1.722,36.968,17.596,77.743,87.990,9.828
99,1.514,47.750,16.746,179.806,12.653,8.653
100,1.841,49.097,4.879,225.333,-127.626,10.443
