 ,Area,Mean,Min,Max,Angle,Length
1,0.176,68.781,22.000,154.500,-176.820,3.055
2,0.128,64.380,19.667,133.913,-157.380,2.203
3,0.118,63.718,43.250,130.667,48.366,2.041
4,0.147,69.731,24.133,117.667,19.654,2.519
5,0.236,134.203,91.480,178.199,124.992,4.137
6,0.166,54.733,21.401,113.000,-40.236,2.886
7,0.207,94.321,20.296,171.080,-8.130,3.595
8,0.185,112.642,35.000,181.000,147.995,3.198
9,0.166,81.263,24.333,164.000,90.000,2.881
10,0.137,67.338,21.000,131.952,149.744,2.354
11,0.150,89.792,24.928,170.289,66.801,2.581
12,0.160,122.619,20.716,184.899,10.620,2.759
13,0.134,90.784,20.085,182.000,143.973,2.305
14,0.147,85.920,30.333,195.333,47.726,2.519
15,0.140,87.205,51.441,170.324,123.690,2.444
16,0.195,83.052,17.973,182.333,126.870,3.389
17,0.147,65.165,34.000,108.400,82.405,2.565
18,0.191,93.652,24.582,202.667,-30.466,3.342
19,0.217,78.557,7.575,210.000,159.146,3.808
20,0.147,72.259,15.763,177.000,109.654,2.519
21,0.166,62.256,6.000,172.000,-90.000,2.881
22,0.137,72.031,9.333,188.333,-90.000,2.373
23,0.166,71.474,20.667,153.333,0.000,2.881
24,0.185,84.730,8.667,194.333,-90.000,3.220
25,0.128,63.902,9.071,171.028,-112.620,2.203
26,0.150,51.500,7.246,133.122,-121.608,2.587
27,0.140,44.940,7.941,115.000,-114.775,2.426
28,0.214,83.104,20.697,148.545,87.397,3.732
29,0.207,68.400,9.380,144.667,-10.784,3.623
30,0.176,44.424,10.056,84.000,-70.560,3.055
31,0.166,63.310,18.000,136.358,110.556,2.896
32,0.131,83.804,21.272,133.360,-167.005,2.261
33,0.128,67.651,25.410,134.667,-98.746,2.229
34,0.153,73.943,17.626,134.667,-108.435,2.680
35,0.144,76.705,31.833,117.667,105.945,2.467
36,0.124,75.107,31.687,139.114,108.435,2.144
37,0.131,54.805,12.432,148.333,153.435,2.274
38,0.172,64.142,9.232,157.000,132.709,2.998
39,0.172,78.096,30.661,146.333,-47.291,2.998
40,0.163,51.891,17.887,92.667,-25.017,2.805
41,0.160,83.786,18.831,160.977,169.380,2.759
42,0.153,72.623,6.299,139.966,116.565,2.653
43,0.207,73.178,13.348,156.000,171.870,3.595
44,0.198,74.750,2.948,152.222,-101.310,3.456
45,0.227,102.273,13.987,152.667,-70.017,3.967
46,0.156,65.668,14.917,170.771,176.424,2.717
47,0.112,50.039,11.334,152.000,-135.000,1.917
48,0.233,79.682,21.056,147.000,-41.634,4.081
49,0.147,60.670,15.347,148.000,-36.870,2.542
50,0.217,49.327,10.586,137.667,35.838,3.763
51,0.153,56.030,19.518,129.667,71.565,2.680
52,0.118,34.910,5.667,104.667,-90.000,2.034
53,0.188,80.793,26.672,176.280,98.973,3.260
54,0.134,106.570,40.502,187.333,-107.103,2.305
55,0.140,88.929,30.058,152.607,167.905,2.426
56,0.147,82.524,50.852,117.667,109.654,2.519
57,0.195,70.071,36.000,152.333,-90.000,3.389
58,0.172,95.355,38.415,172.452,-51.843,3.017
59,0.252,109.402,17.886,213.667,-157.380,4.406
60,0.236,90.505,10.741,220.333,-34.992,4.137
61,0.201,118.432,39.104,207.000,150.945,3.490
62,0.214,80.505,14.946,178.333,18.435,3.751
63,0.134,69.727,26.000,131.118,36.027,2.305
64,0.207,78.517,26.909,191.667,52.595,3.627
65,0.179,85.492,30.750,155.000,9.462,3.092
66,0.156,77.254,18.583,153.958,-93.576,2.717
67,0.147,62.785,25.800,155.667,53.130,2.542
68,0.160,44.959,14.888,158.000,-137.490,2.759
69,0.144,82.871,38.411,171.946,118.301,2.502
70,0.166,46.538,13.667,123.000,180.000,2.881
71,0.080,51.512,25.333,103.000,-119.745,1.366
72,0.147,91.616,41.556,149.756,160.346,2.519
73,0.188,74.728,27.080,141.598,117.897,3.260
74,0.166,82.881,24.000,151.569,173.290,2.901
75,0.191,77.345,20.752,146.000,165.256,3.330
76,0.188,104.595,36.644,167.939,98.973,3.260
77,0.176,87.640,42.000,137.222,83.660,3.069
78,0.198,85.637,16.884,171.333,-98.531,3.427
79,0.195,69.407,18.947,112.333,-36.870,3.389
80,0.198,89.675,12.120,181.333,110.225,3.431
81,0.166,84.853,12.725,200.902,96.710,2.901
82,0.156,64.551,25.333,118.000,180.000,2.711
83,0.220,82.805,15.442,152.333,164.745,3.864
84,0.160,98.349,21.789,172.444,169.380,2.759
85,0.134,56.680,23.201,147.000,143.973,2.305
86,0.182,81.717,24.155,152.667,126.254,3.152
87,0.131,36.098,7.542,126.000,26.565,2.274
88,0.163,87.804,29.440,164.886,57.265,2.820
89,0.227,70.977,10.080,124.686,172.569,3.931
90,0.118,48.119,16.778,85.000,131.634,2.041
91,0.099,63.763,29.667,123.000,-156.038,1.669
92,0.121,71.262,27.482,131.360,34.992,2.069
93,0.144,72.822,13.732,154.575,-28.301,2.502
94,0.169,78.145,20.141,143.666,103.241,2.960
95,0.118,65.576,36.167,118.009,65.556,2.048
96,0.160,75.815,32.104,142.385,-47.490,2.759
97,0.156,69.900,27.167,167.000,-176.424,2.717
98,0.176,98.552,12.333,189.000,90.000,3.050
99,0.179,97.387,45.994,176.610,112.380,3.116
100,0.176,73.285,28.667,128.333,180.000,3.050
