 ,Area,Mean,Min,Max,Angle,Length
1,0.350,125.510,3.833,248.750,7.125,2.861
2,0.294,164.724,53.000,226.000,84.289,2.378
3,0.392,202.229,118.475,248.228,-141.009,3.196
4,0.490,41.420,2.333,139.375,47.386,4.019
5,0.378,150.941,66.000,248.462,-150.524,3.126
6,0.378,193.525,91.913,247.848,142.696,3.123
7,0.434,130.864,32.173,244.000,-36.870,3.549
8,0.406,184.917,6.755,250.333,135.000,3.346
9,0.434,147.230,73.720,228.667,115.710,3.545
10,0.378,149.237,84.795,241.706,67.380,3.076
11,0.406,121.667,18.667,241.622,-46.469,3.264
12,0.434,155.648,22.333,234.033,-174.289,3.567
13,0.420,191.016,24.928,236.548,-59.036,3.449
14,0.392,209.479,51.667,246.778,15.068,3.185
15,0.294,110.153,2.333,243.200,-40.914,2.348
16,0.364,172.810,3.835,248.000,133.363,2.929
17,0.364,101.206,42.040,195.554,158.629,2.922
18,0.448,127.413,12.667,243.355,-170.838,3.715
19,0.434,176.857,7.444,249.667,-9.462,3.598
20,0.490,192.054,21.667,244.275,-171.634,4.066
21,0.420,148.061,99.191,248.667,-67.834,3.449
22,0.490,83.845,7.712,239.486,25.821,4.074
23,0.546,134.594,0.000,251.329,10.713,4.455
24,0.406,103.961,6.667,203.000,-83.884,3.331
25,0.476,137.335,1.333,246.895,156.571,3.868
26,0.448,201.083,99.576,253.790,-142.765,3.715
27,0.364,84.722,31.733,141.933,85.426,2.967
28,0.308,123.647,11.667,244.036,-121.430,2.496
29,0.462,167.888,46.057,241.521,159.864,3.780
30,0.434,107.394,44.000,211.000,95.711,3.567
31,0.364,92.506,2.667,167.850,111.371,2.922
32,0.434,162.739,82.889,251.000,72.759,3.592
33,0.336,110.379,48.213,188.333,107.650,2.731
34,0.490,124.081,23.020,199.333,151.928,4.022
35,0.532,148.100,20.667,248.110,-42.797,4.353
36,0.420,140.713,63.218,221.494,99.782,3.481
37,0.448,189.284,62.000,251.908,-78.690,3.619
38,0.518,209.869,139.167,246.667,-91.591,4.261
39,0.364,175.918,54.733,242.733,78.690,3.016
40,0.406,147.348,25.860,248.483,161.565,3.367
41,0.462,187.598,81.917,244.417,176.424,3.793
42,0.462,217.552,72.635,247.438,98.881,3.832
43,0.490,156.358,16.000,235.608,59.621,3.977
44,0.518,199.351,15.004,247.971,26.565,4.233
45,0.448,157.050,86.877,239.652,20.772,3.669
46,0.434,90.123,22.760,145.333,66.801,3.604
47,0.420,213.551,143.678,240.333,-82.147,3.463
48,0.518,148.449,61.803,239.093,-27.979,4.287
49,0.448,206.500,101.333,245.000,90.000,3.667
50,0.322,158.910,15.099,249.000,-57.724,2.659
51,0.434,147.420,66.400,246.667,32.619,3.511
52,0.364,88.061,15.000,156.735,118.610,2.965
53,0.392,216.232,64.139,248.837,143.973,3.218
54,0.504,87.791,18.614,170.984,109.983,4.154
55,0.504,71.382,15.286,240.493,101.634,4.107
56,0.476,167.374,48.778,239.696,-35.134,3.906
57,0.434,169.882,4.953,241.852,164.578,3.559
58,0.476,151.852,40.455,242.121,138.652,3.940
59,0.406,202.042,64.333,245.833,18.435,3.367
60,0.504,190.452,41.718,248.044,152.700,4.127
61,0.476,167.811,39.333,246.965,-32.735,3.938
62,0.364,123.893,73.356,244.000,43.363,2.929
63,0.518,198.300,103.227,247.792,15.945,4.306
64,0.504,173.692,37.204,245.347,-10.008,4.084
65,0.392,179.788,8.000,243.100,34.287,3.150
66,0.420,181.045,3.333,241.478,63.435,3.439
67,0.420,129.282,11.667,208.579,-63.435,3.439
68,0.518,130.886,21.000,243.333,123.690,4.266
69,0.462,138.320,25.742,239.296,-56.310,3.839
70,0.406,140.067,76.571,194.190,-92.045,3.315
71,0.476,146.562,77.579,243.106,-111.161,3.933
72,0.462,152.521,51.305,242.469,110.136,3.780
73,0.448,196.936,46.608,244.856,13.134,3.644
74,0.434,187.885,99.467,243.400,131.009,3.606
75,0.364,190.770,60.000,245.455,123.690,2.986
76,0.462,110.716,8.000,178.376,79.046,3.735
77,0.504,202.903,92.486,246.667,-88.363,4.142
78,0.392,111.330,53.975,181.667,160.201,3.143
79,0.392,161.402,85.305,237.062,116.565,3.174
80,0.448,172.668,98.246,242.903,-168.690,3.619
81,0.420,139.461,60.552,180.667,-82.147,3.463
82,0.546,96.573,6.667,236.421,-176.987,4.502
83,0.490,157.740,49.333,238.000,40.236,4.029
84,0.462,138.981,8.262,242.770,-163.811,3.819
85,0.462,152.949,15.789,242.135,118.179,3.758
86,0.462,143.621,23.333,235.799,21.801,3.823
87,0.560,141.341,25.852,236.111,-156.038,4.661
88,0.546,176.116,60.250,233.858,142.524,4.472
89,0.490,87.426,7.537,245.008,31.827,4.038
90,0.406,214.916,159.929,243.238,92.045,3.315
91,0.350,123.639,39.333,225.965,-51.710,2.864
92,0.406,118.140,30.946,212.306,22.932,3.340
93,0.518,176.627,75.000,245.602,97.907,4.300
94,0.392,158.385,64.037,243.963,100.491,3.249
95,0.504,138.652,3.983,242.777,166.759,4.132
96,0.448,129.737,15.000,245.688,3.691,3.675
97,0.448,102.943,60.701,243.667,-70.974,3.629
98,0.406,164.591,12.667,248.750,160.907,3.255
99,0.462,115.366,9.833,236.479,178.210,3.788
100,0.532,180.174,52.748,244.315,-172.304,4.417
