 ,Area,Mean,Min,Max,Angle,Length
1,0.430,40.576,10.214,211.333,-143.531,4.927
2,0.512,70.590,33.449,216.897,13.627,5.849
3,0.534,53.949,22.594,136.333,64.885,6.088
4,0.415,51.367,16.621,134.490,115.641,4.777
5,0.408,78.857,13.198,196.000,85.764,4.664
6,0.519,43.371,26.333,70.689,106.858,5.940
7,0.467,55.487,32.667,129.333,90.000,5.340
8,0.653,61.625,21.813,207.140,170.754,7.505
9,0.356,60.569,23.387,120.587,143.616,4.065
10,0.423,35.223,3.762,65.667,6.116,4.851
11,0.408,31.681,13.222,70.000,96.340,4.680
12,0.527,39.925,17.333,81.667,0.000,6.029
13,0.349,33.241,19.333,52.667,-90.000,3.962
14,0.326,27.870,10.735,60.333,127.405,3.687
15,0.356,28.536,0.689,102.032,-120.964,4.018
16,0.423,63.544,26.667,218.375,-14.534,4.805
17,0.519,47.457,1.043,154.000,133.831,5.970
18,0.415,53.175,13.523,170.808,-160.907,4.740
19,0.438,54.160,16.576,179.667,123.690,4.969
20,0.542,53.981,8.563,224.000,-112.989,6.175
21,0.393,61.655,11.357,200.746,130.365,4.522
22,0.438,36.909,7.080,69.138,91.975,4.999
23,0.430,25.752,8.406,62.710,98.130,4.872
24,0.527,43.905,15.573,143.333,59.036,6.027
25,0.260,45.050,17.263,114.667,139.764,2.933
26,0.415,48.187,17.307,125.333,139.399,4.764
27,0.415,42.366,12.333,100.306,-123.111,4.730
28,0.393,72.577,35.852,152.333,-147.529,4.492
29,0.593,64.841,13.364,201.750,123.690,6.832
30,0.408,51.924,4.667,132.000,135.000,4.629
31,0.386,55.538,4.950,212.843,-25.560,4.392
32,0.430,46.577,8.044,201.333,108.435,4.903
33,0.356,51.380,26.586,102.560,109.983,4.033
34,0.564,75.461,23.885,162.390,170.789,6.457
35,0.438,36.813,12.440,72.426,128.047,5.031
36,0.326,51.712,26.128,82.424,123.690,3.727
37,0.519,63.982,28.313,138.333,100.008,5.947
38,0.438,46.450,11.954,126.667,91.975,4.999
39,0.527,65.650,10.048,177.333,94.899,6.051
40,0.475,29.528,0.931,87.333,108.435,5.447
41,0.549,69.746,4.936,177.715,121.504,6.263
42,0.445,52.268,17.384,116.797,113.962,5.090
43,0.393,65.482,13.641,136.769,6.582,4.508
44,0.401,51.028,0.844,198.944,119.476,4.551
45,0.378,45.121,13.187,91.573,126.870,4.307
46,0.393,45.578,9.731,154.000,177.797,4.482
47,0.401,81.797,24.372,222.485,124.287,4.587
48,0.475,49.029,2.667,146.000,116.565,5.393
49,0.623,54.015,18.276,211.667,-99.689,7.165
50,0.682,60.788,8.381,126.810,98.842,7.845
51,0.616,32.941,4.624,120.333,133.025,7.069
52,0.430,58.598,14.684,215.000,132.138,4.878
53,0.586,68.331,11.428,215.854,-22.620,6.718
54,0.438,56.534,11.505,130.845,105.945,5.016
55,0.556,61.587,1.866,218.824,-23.806,6.402
56,0.401,67.567,25.366,181.000,79.114,4.561
57,0.586,59.706,2.846,227.667,91.469,6.720
58,0.786,49.681,2.707,87.240,75.700,9.066
59,0.438,38.917,7.667,68.294,46.397,4.996
60,0.512,47.868,18.686,102.157,86.634,5.867
61,0.556,51.982,14.667,168.667,90.000,6.374
62,0.401,63.339,18.374,136.034,65.376,4.548
63,0.349,50.030,24.029,139.000,87.510,3.966
64,0.371,41.710,8.695,72.170,116.565,4.237
65,0.438,46.804,9.011,166.276,91.975,4.999
66,0.438,31.084,6.966,70.989,-3.945,5.007
67,0.467,40.026,14.667,119.000,90.000,5.340
68,0.482,40.724,15.333,111.396,95.356,5.536
69,0.364,42.252,6.667,221.333,0.000,4.134
70,0.401,57.663,11.100,201.333,-24.624,4.548
71,0.438,49.353,0.333,197.000,-110.323,4.960
72,0.408,111.421,33.667,186.333,128.991,4.654
73,0.349,40.609,3.029,207.275,-172.569,3.996
74,0.527,71.376,45.003,212.667,-120.964,6.027
75,0.349,42.976,18.524,90.446,-72.350,3.977
76,0.631,54.496,8.667,127.667,-158.962,7.198
77,0.408,49.428,18.383,107.000,87.879,4.654
78,0.631,58.300,10.356,125.333,-161.996,7.245
79,0.378,47.000,16.333,134.667,-90.000,4.307
80,0.415,65.785,30.221,215.667,-81.573,4.702
81,0.490,74.597,12.109,210.654,106.189,5.561
82,0.378,66.361,16.333,111.477,66.501,4.320
83,0.423,56.635,8.820,229.818,-142.306,4.789
84,0.616,40.313,2.691,103.667,-91.397,7.065
85,0.482,51.767,4.667,197.333,-20.136,5.504
86,0.445,59.314,5.072,139.363,80.218,5.069
87,0.512,66.111,22.631,217.967,139.764,5.867
88,0.475,47.236,6.986,183.000,124.695,5.447
89,0.645,60.671,9.972,200.333,107.592,7.409
90,0.408,40.252,19.296,78.608,105.068,4.638
91,0.482,72.775,36.708,137.333,131.186,5.493
92,0.445,82.151,31.071,231.259,125.311,5.066
93,0.579,30.132,4.048,94.667,100.437,6.656
94,0.393,106.435,56.164,202.970,112.620,4.479
95,0.482,48.807,11.887,150.333,115.769,5.547
96,0.356,36.138,17.592,78.351,129.806,4.036
97,0.349,104.993,23.209,182.000,113.199,3.936
98,0.527,63.217,6.829,134.000,-175.101,6.051
99,0.482,57.168,16.818,147.000,-118.179,5.472
100,0.408,67.657,11.148,206.235,-26.565,4.622
