 ,Area,Mean,Min,Max,Angle,Length
1,0.634,43.256,1.841,137.333,-45.939,7.368
2,0.408,45.411,9.200,185.000,139.399,4.724
3,0.379,42.733,6.889,193.667,141.340,4.375
4,0.481,71.226,0.366,206.153,98.881,5.532
5,0.496,39.657,6.626,97.333,116.565,5.729
6,0.503,60.360,35.333,90.993,69.444,5.837
7,0.438,48.972,13.262,137.667,-135.000,5.072
8,0.496,21.582,7.469,50.855,-22.751,5.741
9,0.387,43.315,2.077,129.889,133.452,4.470
10,0.438,29.574,1.124,93.333,-156.038,5.046
11,0.350,47.082,14.397,109.324,-117.646,4.049
12,0.350,60.571,17.570,111.333,43.264,3.987
13,0.430,48.158,20.874,92.364,38.047,4.988
14,0.430,69.162,27.333,179.713,146.310,4.927
15,0.394,53.067,1.632,207.000,109.799,4.538
16,0.430,31.655,5.356,102.667,-75.964,4.929
17,0.379,61.776,6.741,198.667,-59.421,4.365
18,0.459,34.082,1.661,185.667,-65.095,5.273
19,0.394,32.349,0.757,188.000,-127.304,4.509
20,0.503,58.330,19.931,97.422,-91.685,5.810
21,0.387,23.087,0.462,124.667,-173.418,4.470
22,0.379,50.689,9.640,192.141,168.690,4.354
23,0.387,26.994,0.795,109.797,-105.642,4.434
24,0.357,44.884,4.333,95.000,-90.000,4.099
25,0.335,22.196,1.556,115.000,-167.196,3.853
26,0.452,33.189,13.032,184.333,136.332,5.195
27,0.350,35.678,1.766,115.000,170.134,3.987
28,0.438,50.447,5.631,100.686,151.699,5.044
29,0.554,57.335,2.728,141.975,-10.713,6.432
30,0.343,50.294,6.203,203.116,-94.970,3.943
31,0.474,59.867,8.562,178.948,-95.356,5.489
32,0.554,36.992,0.333,112.364,-82.304,6.377
33,0.401,31.536,3.104,62.704,-51.009,4.615
34,0.416,65.421,5.000,186.000,-90.000,4.782
35,0.343,53.796,2.377,173.667,-175.030,3.943
36,0.438,33.523,16.333,152.667,-82.147,5.000
37,0.474,34.233,1.062,120.667,-167.276,5.428
38,0.496,41.913,0.322,191.510,-8.616,5.701
39,0.459,56.891,12.140,168.871,-95.528,5.319
40,0.423,77.987,39.087,179.000,155.225,4.891
41,0.452,48.259,16.740,107.000,66.801,5.203
42,0.365,36.925,4.083,124.028,-58.241,4.218
43,0.438,21.010,7.718,62.000,107.819,5.023
44,0.511,55.678,2.615,190.732,144.462,5.877
45,0.416,57.228,3.789,178.000,157.068,4.822
46,0.540,49.885,3.886,132.390,69.075,6.217
47,0.430,52.609,7.623,146.333,-56.310,4.927
48,0.314,29.687,1.442,212.667,-125.218,3.554
49,0.343,38.755,9.623,126.826,-175.030,3.943
50,0.467,31.805,5.716,69.314,71.565,5.401
51,0.401,49.704,9.973,113.140,45.000,4.589
52,0.335,36.482,12.437,205.330,12.804,3.853
53,0.372,24.892,4.504,92.333,113.499,4.284
54,0.489,44.092,4.220,204.975,-64.983,5.654
55,0.467,37.065,4.184,113.837,-100.954,5.393
56,0.350,29.479,2.667,88.333,117.646,4.049
57,0.394,30.858,1.868,119.218,-119.476,4.512
58,0.452,50.235,5.203,197.295,80.538,5.195
59,0.423,45.456,7.457,102.667,-169.875,4.858
60,0.430,60.505,6.333,157.011,5.906,4.980
61,0.299,28.054,1.467,76.200,95.711,3.433
62,0.365,32.650,0.979,106.667,153.435,4.201
63,0.459,35.673,1.188,74.631,29.055,5.275
64,0.430,47.090,11.082,108.667,-128.047,4.988
65,0.372,40.569,4.173,110.202,33.690,4.311
66,0.321,12.280,0.333,40.000,152.241,3.667
67,0.408,54.605,14.253,138.056,70.907,4.699
68,0.372,51.739,22.000,122.667,90.000,4.270
69,0.430,53.261,8.077,187.941,128.047,4.988
70,0.525,46.684,9.134,181.667,128.157,6.082
71,0.408,29.851,1.182,90.152,66.251,4.665
72,0.387,36.246,2.892,131.333,107.745,4.483
73,0.357,42.755,2.222,220.000,131.634,4.113
74,0.416,43.542,2.456,119.148,-111.038,4.758
75,0.430,41.469,7.483,236.184,-178.025,4.956
76,0.387,66.239,30.333,201.607,157.380,4.441
77,0.314,40.465,3.444,129.667,-2.726,3.591
78,0.343,26.250,11.739,65.072,175.030,3.943
79,0.474,57.364,1.812,188.806,-114.146,5.428
80,0.459,37.850,4.019,122.333,-65.095,5.273
81,0.357,30.729,2.861,81.000,131.634,4.113
82,0.503,19.961,0.118,74.000,-74.745,5.842
83,0.496,74.944,1.336,155.287,100.305,5.729
84,0.321,25.034,1.000,70.002,-127.405,3.655
85,0.481,65.151,14.371,135.760,117.350,5.576
86,0.379,48.986,15.501,132.000,41.820,4.354
87,0.445,57.254,3.278,198.822,-150.018,5.127
88,0.489,40.111,1.000,180.667,-5.194,5.660
89,0.445,69.978,29.707,156.333,143.130,5.124
90,0.467,46.117,5.844,212.186,-73.301,5.350
91,0.511,84.864,33.819,165.210,54.462,5.877
92,0.547,39.812,3.211,172.667,152.745,6.340
93,0.459,48.411,9.355,130.151,84.472,5.319
94,0.474,38.559,1.333,122.667,90.000,5.465
95,0.576,55.248,6.718,198.333,-76.675,6.670
96,0.481,40.978,8.482,129.000,-73.811,5.513
97,0.357,27.071,3.000,87.167,-131.634,4.113
98,0.445,40.830,3.839,154.667,-140.440,5.095
99,0.387,44.541,14.667,192.333,-90.000,4.441
100,0.620,40.131,3.748,184.667,-112.306,7.200
