 ,Area,Mean,Min,Max,Angle,Length
1,0.564,202.257,131.667,246.806,114.444,4.475
2,0.503,175.354,75.104,243.842,-124.695,3.904
3,0.625,187.720,21.333,250.867,-88.568,4.940
4,0.518,159.946,43.210,238.868,-75.964,4.072
5,0.457,100.873,15.000,210.448,-80.218,3.633
6,0.610,156.853,31.268,249.667,27.216,4.859
7,0.579,131.140,36.000,252.667,0.000,4.568
8,0.625,161.256,54.000,231.200,23.385,4.977
9,0.594,194.387,131.933,245.982,109.855,4.725
10,0.488,165.514,87.905,247.894,135.000,3.841
11,0.671,191.070,83.381,244.889,107.592,5.310
12,0.594,158.213,1.000,248.000,-15.124,4.732
13,0.625,165.712,81.627,237.622,20.726,4.884
14,0.671,206.131,107.333,250.057,144.462,5.310
15,0.671,181.558,7.333,250.199,156.448,5.252
16,0.579,125.324,54.631,248.495,93.094,4.575
17,0.594,107.120,67.800,158.570,135.000,4.714
18,0.610,160.891,1.333,247.667,-21.251,4.769
19,0.594,200.457,39.000,252.800,153.435,4.693
20,0.518,107.206,33.182,244.000,8.616,4.121
21,0.610,100.091,2.000,249.410,2.936,4.821
22,0.564,110.169,7.333,241.667,-85.236,4.460
23,0.625,115.528,1.333,240.000,60.255,4.977
24,0.854,190.036,63.208,251.967,-158.587,6.763
25,0.549,186.053,102.330,247.105,146.768,4.280
26,0.427,174.835,70.000,236.864,131.987,3.322
27,0.472,205.320,68.147,252.000,126.870,3.704
28,0.594,210.411,1.000,252.524,128.660,4.743
29,0.701,157.782,8.603,248.333,167.196,5.571
30,0.472,179.265,80.979,246.379,111.448,3.714
31,0.686,161.219,47.720,244.288,-37.648,5.457
32,0.716,151.297,59.464,239.209,163.540,5.664
33,0.564,105.529,4.778,240.667,-9.462,4.506
34,0.533,133.226,2.176,247.098,178.315,4.199
35,0.533,175.734,86.359,242.043,-161.030,4.178
36,0.549,184.072,107.757,246.333,61.260,4.365
37,0.594,156.525,63.485,242.704,156.801,4.701
38,0.640,207.076,106.670,250.333,-50.906,5.090
39,0.625,158.495,45.333,252.333,-84.289,4.963
40,0.518,200.814,152.507,244.819,147.265,4.109
41,0.640,130.792,6.667,249.407,1.397,5.063
42,0.549,213.095,119.286,249.286,98.130,4.365
43,0.594,186.985,125.045,242.289,-10.713,4.649
44,0.655,160.832,50.946,243.136,-43.091,5.241
45,0.762,210.241,141.034,249.213,-158.629,6.098
46,0.549,211.956,133.667,251.010,176.730,4.328
47,0.625,178.742,3.000,245.667,-43.995,4.977
48,0.655,193.085,49.333,252.109,-53.673,5.210
49,0.579,193.228,5.333,253.333,-91.548,4.570
50,0.625,222.675,112.000,251.401,10.176,4.892
51,0.686,181.888,76.099,251.464,13.092,5.450
52,0.686,141.887,13.449,246.826,58.134,5.379
53,0.686,213.299,54.667,250.591,97.765,5.482
54,0.625,192.393,33.747,251.733,128.884,4.917
55,0.640,180.399,35.821,249.000,-94.185,5.075
56,0.594,203.833,104.070,250.772,-98.973,4.749
57,0.701,149.184,27.600,250.615,95.080,5.577
58,0.625,131.347,28.972,249.721,-118.496,4.917
59,0.671,150.879,13.574,248.767,86.009,5.322
60,0.564,43.036,1.722,112.556,-82.093,4.487
61,0.655,151.176,25.548,245.762,85.914,5.198
62,0.655,157.601,24.120,239.728,-15.018,5.241
63,0.625,214.389,71.000,251.333,95.711,4.963
64,0.640,187.027,72.869,244.950,168.690,5.036
65,0.427,185.640,121.132,242.978,118.443,3.370
66,0.701,131.247,18.586,224.152,55.954,5.513
67,0.701,180.726,92.320,251.522,14.036,5.599
68,0.671,224.992,171.937,251.936,13.392,5.330
69,0.579,191.434,1.333,250.721,-94.635,4.583
70,0.518,205.566,121.000,248.090,118.887,4.089
71,0.579,169.039,74.506,240.193,113.806,4.588
72,0.594,194.069,4.000,248.942,-47.121,4.717
73,0.686,49.110,17.948,167.333,-64.592,5.467
74,0.655,154.743,60.769,237.168,-46.909,5.241
75,0.823,200.770,104.825,247.420,-154.398,6.571
76,0.579,213.996,83.000,246.863,74.476,4.613
77,0.549,208.240,132.085,249.599,104.826,4.342
78,0.564,182.934,107.083,242.500,138.366,4.460
79,0.640,128.848,5.333,247.772,1.397,5.063
80,0.564,212.290,17.350,248.833,110.925,4.494
81,0.579,195.842,21.333,251.333,90.000,4.568
82,0.671,207.418,124.333,247.153,77.905,5.303
83,0.518,180.843,123.000,237.667,90.000,4.074
84,0.671,157.669,58.333,248.579,-66.448,5.252
85,0.625,135.474,20.750,246.800,94.289,4.952
86,0.701,201.338,85.000,249.307,-143.130,5.556
87,0.747,156.074,59.333,248.000,-176.424,5.937
88,0.701,183.391,82.067,251.733,3.814,5.568
89,0.579,148.792,7.000,248.279,-85.365,4.583
90,0.488,173.415,93.346,247.668,-121.608,3.769
91,0.640,110.357,11.248,228.639,74.624,5.122
92,0.808,142.042,36.503,246.000,134.215,6.373
93,0.579,82.154,9.334,236.989,42.797,4.543
94,0.716,170.766,17.000,240.000,180.000,5.679
95,0.594,163.129,73.300,247.481,-153.435,4.693
96,0.655,116.346,20.490,219.333,77.619,5.182
97,0.503,107.247,2.000,208.333,-165.530,3.953
98,0.747,151.353,26.521,251.083,93.576,5.937
99,0.640,141.192,16.301,246.626,91.397,5.063
100,0.655,153.525,6.000,244.190,-91.364,5.187
