 ,Area,Mean,Min,Max,Angle,Length
1,0.226,82.609,9.396,130.568,-13.392,4.406
2,0.221,59.814,15.435,128.517,154.654,4.291
3,0.185,66.983,7.924,129.852,148.339,3.596
4,0.219,41.519,1.102,134.153,-164.624,4.233
5,0.182,61.045,12.855,172.362,-87.510,3.524
6,0.174,67.090,27.333,115.455,177.397,3.371
7,0.130,56.867,15.720,135.199,-169.380,2.492
8,0.143,94.883,37.840,182.000,160.560,2.759
9,0.133,39.104,12.533,114.152,-162.646,2.566
10,0.143,100.431,31.444,149.278,56.310,2.759
11,0.187,118.204,43.825,183.000,62.354,3.629
12,0.195,122.016,38.307,179.375,11.768,3.752
13,0.115,140.250,57.843,204.724,56.310,2.207
14,0.125,63.906,24.035,126.000,140.194,2.391
15,0.151,51.601,10.839,148.074,161.565,2.904
16,0.146,100.231,55.787,201.964,135.000,2.814
17,0.177,70.849,11.950,171.333,159.146,3.440
18,0.182,88.792,17.362,167.159,4.970,3.534
19,0.159,94.274,27.920,142.667,143.130,3.061
20,0.224,101.763,28.058,192.000,129.289,4.351
21,0.128,89.231,36.000,170.667,90.000,2.449
22,0.180,113.238,38.630,196.141,-12.804,3.453
23,0.174,128.457,20.030,217.000,2.603,3.371
24,0.161,136.089,57.366,202.805,98.531,3.095
25,0.182,128.599,54.870,208.667,2.490,3.524
26,0.143,125.021,35.556,206.000,86.820,2.759
27,0.213,124.034,73.333,198.333,111.801,4.121
28,0.185,115.597,44.369,183.333,70.017,3.583
29,0.185,77.929,40.000,142.243,136.736,3.573
30,0.180,125.133,52.716,198.000,-45.000,3.463
31,0.161,131.909,75.585,176.449,-110.225,3.099
32,0.190,107.873,21.188,162.463,-65.556,3.699
33,0.172,103.878,26.693,202.897,-13.392,3.304
34,0.141,57.645,20.508,189.695,137.291,2.708
35,0.135,73.936,25.667,180.667,180.000,2.602
36,0.213,98.320,28.968,174.667,-15.068,4.121
37,0.182,76.911,35.197,140.734,107.650,3.534
38,0.120,103.411,41.711,150.333,93.814,2.301
39,0.198,114.728,30.667,187.000,90.000,3.827
40,0.146,51.034,5.408,115.309,-157.620,2.814
41,0.195,87.255,33.790,153.663,-43.363,3.790
42,0.229,80.898,22.815,139.834,105.945,4.457
43,0.115,36.758,4.626,91.207,-155.225,2.192
44,0.156,120.728,46.161,183.423,14.744,3.007
45,0.146,85.405,48.677,138.019,139.399,2.822
46,0.169,53.490,12.434,139.637,70.710,3.243
47,0.159,111.374,62.333,176.933,130.914,3.038
48,0.159,92.214,33.787,175.667,17.526,3.050
49,0.130,86.003,29.643,186.000,42.510,2.492
50,0.148,94.542,39.216,163.375,105.524,2.859
51,0.125,65.218,39.183,162.086,-145.305,2.420
52,0.143,69.773,14.778,138.000,160.560,2.759
53,0.141,81.758,12.000,159.333,16.390,2.712
54,0.159,85.911,33.333,162.133,5.711,3.076
55,0.169,126.861,64.598,177.946,117.759,3.286
56,0.180,91.711,39.711,171.333,102.804,3.453
57,0.148,84.522,29.668,153.898,164.476,2.859
58,0.174,97.753,10.653,187.000,46.848,3.357
59,0.174,60.316,7.380,142.806,155.772,3.357
60,0.180,90.306,38.383,172.114,151.189,3.494
61,0.159,116.053,44.167,211.967,87.138,3.065
62,0.146,62.384,26.110,122.451,-157.620,2.814
63,0.159,105.214,37.027,175.000,126.870,3.061
64,0.164,132.311,67.763,181.239,-112.834,3.155
65,0.200,128.480,55.709,201.237,-6.843,3.854
66,0.203,50.492,9.082,133.000,149.421,3.911
67,0.151,54.038,14.439,111.667,96.009,2.924
68,0.187,63.112,18.223,137.333,102.265,3.603
69,0.128,77.409,32.333,120.000,-21.801,2.473
70,0.164,60.448,8.884,122.461,-75.964,3.155
71,0.146,60.497,2.679,130.667,150.642,2.810
72,0.148,98.246,50.757,157.118,53.746,2.847
73,0.182,84.287,18.507,169.667,107.650,3.534
74,0.130,67.621,37.673,161.154,-79.380,2.492
75,0.125,43.754,15.029,117.626,145.305,2.420
76,0.138,81.370,29.333,149.667,166.759,2.673
77,0.185,108.968,33.221,194.657,46.736,3.573
78,0.174,77.285,19.788,150.000,174.806,3.381
79,0.167,111.285,43.313,218.694,148.570,3.229
80,0.167,114.800,42.333,211.381,87.274,3.218
81,0.180,131.755,71.371,189.691,102.804,3.453
82,0.130,75.453,24.464,173.797,124.992,2.491
83,0.112,56.923,21.286,102.667,-106.699,2.131
84,0.109,77.083,31.841,157.740,29.055,2.101
85,0.148,58.653,18.165,110.333,111.038,2.843
86,0.156,89.250,14.847,206.667,151.699,3.013
87,0.151,45.147,5.264,103.333,-129.289,2.901
88,0.156,63.438,13.771,121.948,132.274,3.034
89,0.193,52.221,4.000,96.425,-170.538,3.724
90,0.185,65.042,38.434,92.512,-156.371,3.564
91,0.198,88.768,24.615,170.600,147.995,3.851
92,0.159,83.173,36.444,125.000,-176.186,3.068
93,0.125,35.272,7.730,82.186,70.017,2.389
94,0.216,64.977,17.461,101.058,-60.945,4.202
95,0.130,27.492,2.918,105.000,-99.462,2.483
96,0.115,27.210,10.004,75.000,-111.801,2.198
97,0.151,122.169,54.936,187.785,77.905,2.922
98,0.138,74.826,9.994,153.333,157.380,2.653
99,0.135,117.156,65.918,219.179,161.565,2.581
100,0.096,40.423,12.333,90.333,180.000,1.837
