 ,Area,Mean,Min,Max,Angle,Length
1,0.370,74.686,51.556,134.333,109.537,4.890
2,0.331,80.928,45.155,151.000,-47.726,4.420
3,0.365,37.505,5.731,91.333,100.620,4.840
4,0.436,49.932,3.590,140.795,94.399,5.815
5,0.376,80.517,39.024,185.898,171.384,4.962
6,0.508,75.851,17.286,203.667,142.125,6.780
7,0.381,57.986,29.000,116.333,-159.444,5.081
8,0.420,40.467,12.018,81.221,99.211,5.572
9,0.320,56.539,7.344,215.667,114.775,4.257
10,0.271,58.633,22.333,166.333,90.000,3.568
11,0.359,73.770,20.510,197.033,143.842,4.787
12,0.359,34.305,5.758,97.490,114.146,4.724
13,0.370,75.748,8.000,168.060,158.839,4.942
14,0.370,58.234,26.050,118.597,43.781,4.942
15,0.315,71.215,11.646,200.143,106.504,4.186
16,0.370,58.202,19.581,221.660,164.291,4.942
17,0.365,77.864,42.131,140.229,56.310,4.824
18,0.381,64.204,12.784,208.333,93.366,5.063
19,0.359,69.310,42.178,154.333,122.196,4.743
20,0.448,46.012,1.600,125.000,-84.289,5.976
21,0.298,79.668,27.153,198.361,12.995,3.967
22,0.359,64.527,26.667,97.271,84.644,4.778
23,0.392,42.425,3.981,106.667,96.520,5.237
24,0.298,37.333,0.256,181.689,-34.287,3.958
25,0.320,60.778,16.000,183.333,143.531,4.252
26,0.215,47.924,6.070,95.667,-93.013,2.828
27,0.414,57.923,19.243,94.216,1.548,5.502
28,0.470,50.794,2.429,94.611,-56.689,6.226
29,0.403,49.850,27.194,151.667,131.634,5.370
30,0.431,61.895,12.218,118.667,100.437,5.744
31,0.343,51.375,0.468,208.000,-82.405,4.499
32,0.326,36.427,2.943,62.966,88.025,4.314
33,0.403,59.255,23.296,137.333,112.989,5.329
34,0.331,72.122,32.842,137.667,82.147,4.352
35,0.409,39.419,11.461,172.000,145.008,5.444
36,0.425,61.303,30.209,126.000,116.565,5.651
37,0.425,89.353,35.325,238.152,63.435,5.651
38,0.481,44.216,11.986,124.617,152.241,6.384
39,0.409,66.167,11.701,128.738,105.945,5.411
40,0.414,58.481,1.364,194.461,139.399,5.482
41,0.271,54.645,0.000,227.500,-7.125,3.596
42,0.448,56.735,23.813,99.890,-63.435,5.983
43,0.503,42.424,5.255,186.333,-60.573,6.657
44,0.326,48.480,2.333,218.448,-1.975,4.314
45,0.304,51.328,5.399,168.667,131.987,4.000
46,0.365,51.775,3.112,145.922,-42.510,4.840
47,0.442,42.600,1.056,97.560,75.256,5.841
48,0.337,12.602,0.350,42.409,105.422,4.472
49,0.381,67.074,2.230,224.000,105.255,5.085
50,0.569,31.527,7.296,80.652,147.875,7.548
51,0.293,28.942,4.897,65.398,112.620,3.865
52,0.348,59.408,17.248,122.000,-135.000,4.625
53,0.420,75.379,27.787,184.019,73.009,5.596
54,0.508,73.367,7.303,249.095,61.189,6.786
55,0.343,41.798,2.112,126.449,138.991,4.531
56,0.348,56.292,8.118,159.495,84.472,4.630
57,0.370,100.065,8.333,231.397,127.569,4.876
58,0.309,72.828,26.555,191.333,146.889,4.082
59,0.409,65.475,25.689,171.000,145.008,5.444
60,0.337,73.555,7.000,165.000,145.784,4.494
61,0.414,49.560,4.123,121.000,-104.036,5.516
62,0.293,47.050,6.488,97.076,35.538,3.836
63,0.354,81.079,20.187,220.657,67.521,4.666
64,0.392,51.471,3.299,234.224,-18.435,5.171
65,0.276,80.679,28.063,152.964,11.768,3.644
66,0.376,44.572,1.238,189.357,-101.976,5.015
67,0.337,82.518,14.468,201.333,21.448,4.472
68,0.403,42.050,9.944,92.722,178.409,5.354
69,0.359,80.774,11.583,174.000,104.470,4.759
70,0.354,45.297,1.000,206.501,-59.349,4.666
71,0.558,103.010,10.806,194.281,148.841,7.470
72,0.381,76.861,22.266,219.063,-76.373,5.048
73,0.425,68.969,2.511,198.667,-18.435,5.641
74,0.470,91.356,8.218,235.265,73.301,6.208
75,0.359,88.738,3.118,205.747,-32.196,4.743
76,0.381,39.778,0.368,119.667,65.695,5.057
77,0.392,78.933,4.121,231.333,104.826,5.228
78,0.304,65.982,21.032,155.667,-58.671,4.003
79,0.475,57.610,4.163,184.333,129.289,6.339
80,0.425,43.621,10.632,96.272,125.362,5.651
81,0.508,69.856,33.535,133.667,100.081,6.795
82,0.376,54.048,3.163,154.000,57.265,4.948
83,0.392,66.865,10.200,208.571,4.899,5.222
84,0.409,49.724,13.330,135.430,-64.134,5.452
85,0.497,62.907,6.492,169.000,108.435,6.581
86,0.348,29.642,1.333,92.979,174.472,4.630
87,0.470,38.899,0.333,138.667,157.694,6.267
88,0.293,51.623,12.313,115.662,117.553,3.857
89,0.282,84.085,27.667,187.000,73.740,3.716
90,0.370,58.482,4.515,154.848,88.264,4.908
91,0.387,49.464,2.561,171.667,163.142,5.126
92,0.326,58.492,23.920,135.667,-178.025,4.314
93,0.320,66.718,28.018,198.208,8.130,4.205
94,0.343,65.002,1.525,188.000,117.408,4.521
95,0.376,35.852,1.303,206.000,128.928,4.968
96,0.398,67.857,4.935,202.000,106.390,5.268
97,0.326,66.357,32.276,140.988,93.945,4.321
98,0.475,67.478,17.012,207.668,163.686,6.351
99,0.448,40.850,2.880,71.108,107.526,5.924
100,0.326,32.009,1.583,134.667,139.185,4.321
