date,outplant_tag,treatment,prop_survival
20250626,13,Immune PolyIC,1
20251006,13,Immune PolyIC,0.7983870967741935
20260531,13,Immune PolyIC,0.6693548387096775
20250626,14,Control,1
20251006,14,Control,0.8125
20260531,14,Control,0.7767857142857143
20250626,15,Control,1
20251006,15,Control,0.7931034482758621
20260531,15,Control,0.7586206896551724
20250626,16,Immune PolyIC,1
20251006,16,Immune PolyIC,0.832
20260531,16,Immune PolyIC,0.8160000000000001
20250626,17,Control,1
20251006,17,Control,0.7537313432835822
20260531,17,Control,0.7164179104477613
20250626,18,Immune PolyIC,1
20251006,18,Immune PolyIC,0.6692307692307693
20260531,18,Immune PolyIC,0.6384615384615384
20250626,19,Control,1
20251006,19,Control,0.7703703703703704
20260531,19,Control,0.7481481481481482
20250626,20,Immune PolyIC,1
20251006,20,Immune PolyIC,0.7557251908396947
20260531,20,Immune PolyIC,0.7480916030534351
